timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746381386090,54,DELETE character,200,OK,thread_1000_1_infinite 1-133,text,true,,293,183,1000,1000,http://localhost:3001/character/452,54,0,0
1746381386090,54,POST character ,201,Created,thread_1000_1_infinite 1-237,text,true,,274,217,1000,1000,http://localhost:3001/character,54,0,0
1746381386093,52,GET character id,200,OK,thread_1000_1_infinite 1-117,text,true,,273,159,1000,1000,http://localhost:3001/character/2,52,0,0
1746381386093,52,GET characters,200,OK,thread_1000_1_infinite 1-129,text,true,,15752,158,1000,1000,http://localhost:3001/characters,52,0,0
1746381386090,55,DELETE character,200,OK,thread_1000_1_infinite 1-152,text,true,,293,183,1000,1000,http://localhost:3001/character/455,55,0,0
1746381386092,53,DELETE character,200,OK,thread_1000_1_infinite 1-124,text,true,,293,183,1000,1000,http://localhost:3001/character/457,53,0,0
1746381386091,55,DELETE character,200,OK,thread_1000_1_infinite 1-279,text,true,,293,183,1000,1000,http://localhost:3001/character/456,55,0,0
1746381386094,52,POST character ,201,Created,thread_1000_1_infinite 1-67,text,true,,274,217,1000,1000,http://localhost:3001/character,52,0,0
1746381386092,54,GET character id,200,OK,thread_1000_1_infinite 1-112,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386093,54,GET characters,200,OK,thread_1000_1_infinite 1-14,text,true,,15752,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386094,53,GET characters,200,OK,thread_1000_1_infinite 1-4,text,true,,15752,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386090,57,DELETE character,200,OK,thread_1000_1_infinite 1-289,text,true,,293,183,1000,1000,http://localhost:3001/character/453,57,0,0
1746381386094,53,GET character id,200,OK,thread_1000_1_infinite 1-172,text,true,,273,159,1000,1000,http://localhost:3001/character/2,53,0,0
1746381386094,53,POST character ,201,Created,thread_1000_1_infinite 1-251,text,true,,274,217,1000,1000,http://localhost:3001/character,53,0,0
1746381386090,58,DELETE character,200,OK,thread_1000_1_infinite 1-266,text,true,,293,183,1000,1000,http://localhost:3001/character/454,58,0,0
1746381386094,54,GET characters,200,OK,thread_1000_1_infinite 1-23,text,true,,15787,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386094,54,GET characters,200,OK,thread_1000_1_infinite 1-245,text,true,,15822,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386096,53,DELETE character,200,OK,thread_1000_1_infinite 1-209,text,true,,293,183,1000,1000,http://localhost:3001/character/453,53,0,0
1746381386096,53,GET characters,200,OK,thread_1000_1_infinite 1-268,text,true,,15787,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386096,53,POST character ,201,Created,thread_1000_1_infinite 1-21,text,true,,274,217,1000,1000,http://localhost:3001/character,53,0,0
1746381386096,54,GET characters,200,OK,thread_1000_1_infinite 1-11,text,true,,15822,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386097,53,DELETE character,200,OK,thread_1000_1_infinite 1-40,text,true,,293,183,1000,1000,http://localhost:3001/character/452,53,0,0
1746381386097,54,GET character id,200,OK,thread_1000_1_infinite 1-159,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386098,53,GET characters,200,OK,thread_1000_1_infinite 1-62,text,true,,15787,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386098,53,DELETE character,200,OK,thread_1000_1_infinite 1-143,text,true,,293,183,1000,1000,http://localhost:3001/character/452,53,0,0
1746381386099,53,POST character ,201,Created,thread_1000_1_infinite 1-20,text,true,,274,217,1000,1000,http://localhost:3001/character,53,0,0
1746381386099,54,POST character ,201,Created,thread_1000_1_infinite 1-106,text,true,,274,217,1000,1000,http://localhost:3001/character,54,0,0
1746381386100,53,GET characters,200,OK,thread_1000_1_infinite 1-30,text,true,,15822,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386100,53,POST character ,201,Created,thread_1000_1_infinite 1-230,text,true,,274,217,1000,1000,http://localhost:3001/character,53,0,0
1746381386101,53,DELETE character,200,OK,thread_1000_1_infinite 1-218,text,true,,293,183,1000,1000,http://localhost:3001/character/452,53,0,0
1746381386101,54,GET character id,200,OK,thread_1000_1_infinite 1-135,text,true,,273,159,1000,1000,http://localhost:3001/character/2,53,0,0
1746381386101,54,GET characters,200,OK,thread_1000_1_infinite 1-224,text,true,,15822,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386101,54,POST character ,201,Created,thread_1000_1_infinite 1-250,text,true,,274,217,1000,1000,http://localhost:3001/character,54,0,0
1746381386102,54,GET characters,200,OK,thread_1000_1_infinite 1-161,text,true,,15857,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386102,55,GET characters,200,OK,thread_1000_1_infinite 1-183,text,true,,15857,158,1000,1000,http://localhost:3001/characters,55,0,0
